__run_id,__done,alg,subject,energy-pkg,energy-ram,execution-time
run_217_repetition_10,DONE,zstd,zstd/has-to-string-tag-x--has-to-string-tag-x-2.1.2.tar.zst,0.26,0.03,0.003898313
run_99_repetition_29,DONE,xz,xz/lodash-es--lodash-es-4.18.1.tar.xz,1.06,0.12,0.016237673
run_7_repetition_29,DONE,npm,npm/strict-uri-encode--strict-uri-encode-2.0.0.tgz,0.33,0.04,0.004679547
run_74_repetition_4,DONE,xz,xz/@types__glob--glob-9.0.0.tar.xz,0.29,0.03,0.003825686
run_273_repetition_27,DONE,brotli,brotli/dom-accessibility-api--dom-accessibility-api-0.7.1.tar.br,0.32,0.04,0.005484563
run_285_repetition_3,DONE,brotli,brotli/jiti--jiti-2.7.0.tar.br,0.81,0.1,0.012281517
run_260_repetition_1,DONE,brotli,brotli/@parcel__watcher--watcher-2.5.6.tar.br,0.38,0.05,0.005028131
run_298_repetition_9,DONE,brotli,brotli/remove-trailing-separator--remove-trailing-separator-1.1.0.tar.br,0.26,0.03,0.003977786
run_174_repetition_13,DONE,zopfli,zopfli/shallowequal--shallowequal-1.1.0.tgz,0.26,0.03,0.003856637
run_250_repetition_4,DONE,zstd,zstd/workbox-streams--workbox-streams-7.4.1.tar.zst,0.3,0.03,0.004051333
run_45_repetition_2,DONE,npm,npm/prismjs--prismjs-1.30.0.tgz,1.92,0.23,0.02952834
run_177_repetition_20,DONE,zopfli,zopfli/strict-uri-encode--strict-uri-encode-2.0.0.tgz,0.25,0.03,0.003907089
run_251_repetition_28,DONE,zstd,zstd/xml2js--xml2js-0.6.2.tar.zst,0.96,0.11,0.014269928
run_213_repetition_12,DONE,zstd,zstd/eslint-plugin-import--eslint-plugin-import-2.32.0.tar.zst,0.58,0.07,0.009089304
run_19_repetition_8,DONE,npm,npm/whatwg-mimetype--whatwg-mimetype-5.0.0.tgz,0.35,0.04,0.005366244
run_64_repetition_6,DONE,xz,xz/@babel__plugin-transform-regexp-modifiers--plugin-transform-regexp-modifiers-7.28.6.tar.xz,0.28,0.03,0.00423705
run_254_repetition_19,DONE,brotli,brotli/@esbuild__linux-ia32--linux-ia32-0.28.0.tar.br,5.69,0.68,0.088841612
run_97_repetition_8,DONE,xz,xz/libphonenumber-js--libphonenumber-js-1.13.3.tar.xz,4.38,0.52,0.068558627
run_271_repetition_26,DONE,brotli,brotli/client-only--client-only-0.0.1.tar.br,0.26,0.03,0.003548134
run_52_repetition_28,DONE,npm,npm/@opentelemetry__semantic-conventions--semantic-conventions-1.41.1.tgz,4.94,0.59,0.07751766
run_53_repetition_11,DONE,npm,npm/libphonenumber-js--libphonenumber-js-1.13.3.tgz,5.3,0.63,0.081875897
run_66_repetition_13,DONE,xz,xz/@eslint__eslintrc--eslintrc-3.3.5.tar.xz,0.7,0.08,0.010670761
run_145_repetition_21,DONE,zopfli,zopfli/client-only--client-only-0.0.1.tgz,0.26,0.03,0.003717889
run_266_repetition_0,DONE,brotli,brotli/assert-plus--assert-plus-1.0.0.tar.br,0.29,0.03,0.003862096
run_103_repetition_20,DONE,xz,xz/prettier--prettier-3.8.3.tar.xz,6.67,0.79,0.104100847
run_135_repetition_16,DONE,zopfli,zopfli/@radix-ui__primitive--primitive-1.1.3.tgz,0.29,0.04,0.003999296
run_121_repetition_24,DONE,xz,xz/webpack--webpack-5.107.1.tar.xz,5.62,0.66,0.087881136
run_46_repetition_8,DONE,npm,npm/@modelcontextprotocol__sdk--sdk-1.29.0.tgz,2.27,0.26,0.034491453
run_114_repetition_19,DONE,xz,xz/strict-uri-encode--strict-uri-encode-2.0.0.tar.xz,0.26,0.03,0.003999522
run_172_repetition_22,DONE,zopfli,zopfli/remove-trailing-separator--remove-trailing-separator-1.1.0.tgz,0.29,0.03,0.003791473
run_190_repetition_19,DONE,zstd,zstd/@babel__plugin-transform-regexp-modifiers--plugin-transform-regexp-modifiers-7.28.6.tar.zst,0.26,0.03,0.003352572
run_276_repetition_5,DONE,brotli,brotli/eslint-plugin-import--eslint-plugin-import-2.32.0.tar.br,0.77,0.09,0.011490543
run_237_repetition_3,DONE,zstd,zstd/shallowequal--shallowequal-1.1.0.tar.zst,0.26,0.03,0.00376121
run_194_repetition_1,DONE,zstd,zstd/@modelcontextprotocol__sdk--sdk-1.29.0.tar.zst,0.97,0.11,0.014796047
run_74_repetition_28,DONE,xz,xz/@types__glob--glob-9.0.0.tar.xz,0.26,0.03,0.00406058
run_265_repetition_13,DONE,brotli,brotli/@vue__reactivity--reactivity-3.5.34.tar.br,0.32,0.04,0.005246679
run_85_repetition_28,DONE,xz,xz/encoding-sniffer--encoding-sniffer-1.0.2.tar.xz,0.38,0.05,0.005685552
run_51_repetition_24,DONE,npm,npm/webpack--webpack-5.107.1.tgz,3.64,0.43,0.056229508
run_273_repetition_12,DONE,brotli,brotli/dom-accessibility-api--dom-accessibility-api-0.7.1.tar.br,0.38,0.05,0.005373271
run_130_repetition_10,DONE,zopfli,zopfli/@ethersproject__abstract-signer--abstract-signer-5.8.0.tgz,0.3,0.03,0.004509276
run_234_repetition_11,DONE,zstd,zstd/react-error-overlay--react-error-overlay-6.1.0.tar.zst,0.33,0.04,0.005473306
run_233_repetition_5,DONE,zstd,zstd/react-dom--react-dom-19.2.6.tar.zst,1.2,0.14,0.018136679
run_259_repetition_20,DONE,brotli,brotli/@opentelemetry__semantic-conventions--semantic-conventions-1.41.1.tar.br,1.72,0.2,0.026024161
run_97_repetition_12,DONE,xz,xz/libphonenumber-js--libphonenumber-js-1.13.3.tar.xz,4.32,0.51,0.067716274
run_227_repetition_8,DONE,zstd,zstd/node-notifier--node-notifier-10.0.1.tar.zst,1.39,0.16,0.021056654
run_84_repetition_2,DONE,xz,xz/dom-accessibility-api--dom-accessibility-api-0.7.1.tar.xz,0.5,0.06,0.007989306
run_140_repetition_10,DONE,zopfli,zopfli/assert-plus--assert-plus-1.0.0.tgz,0.22,0.03,0.003619064
run_40_repetition_8,DONE,npm,npm/ts-node--ts-node-10.9.2.tgz,0.81,0.09,0.012096811
run_118_repetition_18,DONE,xz,xz/ts-node--ts-node-10.9.2.tar.xz,1.15,0.14,0.017316733
run_261_repetition_14,DONE,brotli,brotli/@radix-ui__primitive--primitive-1.1.3.tar.br,0.25,0.03,0.004162856
run_5_repetition_26,DONE,npm,npm/babel-plugin-transform-exponentiation-operator--babel-plugin-transform-exponentiation-operator-6.24.1.tgz,0.31,0.04,0.004473273
run_132_repetition_17,DONE,zopfli,zopfli/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tgz,74.25,8.82,1.168833112
run_47_repetition_6,DONE,npm,npm/protobufjs--protobufjs-8.4.2.tgz,1.94,0.23,0.030692595
run_269_repetition_0,DONE,brotli,brotli/babel-plugin-check-es2015-constants--babel-plugin-check-es2015-constants-6.22.0.tar.br,0.26,0.03,0.003755045
run_239_repetition_23,DONE,zstd,zstd/split2--split2-4.2.0.tar.zst,0.23,0.02,0.003369383
run_22_repetition_22,DONE,npm,npm/@ethersproject__abstract-signer--abstract-signer-5.8.0.tgz,0.39,0.05,0.005423015
run_94_repetition_19,DONE,xz,xz/iconv-lite--iconv-lite-0.7.2.tar.xz,1.15,0.14,0.017469963
run_111_repetition_14,DONE,xz,xz/shallowequal--shallowequal-1.1.0.tar.xz,0.25,0.03,0.004287602
run_115_repetition_20,DONE,xz,xz/style-loader--style-loader-4.0.0.tar.xz,0.35,0.04,0.005282256
run_102_repetition_23,DONE,xz,xz/path-dirname--path-dirname-1.0.2.tar.xz,0.3,0.03,0.004187442
run_241_repetition_23,DONE,zstd,zstd/style-loader--style-loader-4.0.0.tar.zst,0.26,0.03,0.003614969
run_296_repetition_7,DONE,brotli,brotli/react-dom--react-dom-19.2.6.tar.br,1.26,0.15,0.019227396
run_238_repetition_4,DONE,zstd,zstd/source-list-map--source-list-map-2.0.1.tar.zst,0.23,0.03,0.003500469
run_312_repetition_4,DONE,brotli,brotli/workbox-routing--workbox-routing-7.4.1.tar.br,0.39,0.05,0.005665784
run_152_repetition_6,DONE,zopfli,zopfli/fetch-blob--fetch-blob-4.0.0.tgz,0.26,0.03,0.003756213
run_85_repetition_5,DONE,xz,xz/encoding-sniffer--encoding-sniffer-1.0.2.tar.xz,0.36,0.04,0.005676554
run_248_repetition_0,DONE,zstd,zstd/whatwg-mimetype--whatwg-mimetype-5.0.0.tar.zst,0.25,0.03,0.003925339
run_144_repetition_19,DONE,zopfli,zopfli/babel-plugin-transform-exponentiation-operator--babel-plugin-transform-exponentiation-operator-6.24.1.tgz,0.25,0.03,0.004025397
run_311_repetition_21,DONE,brotli,brotli/whatwg-mimetype--whatwg-mimetype-5.0.0.tar.br,0.29,0.03,0.004215371
run_122_repetition_26,DONE,xz,xz/whatwg-mimetype--whatwg-mimetype-5.0.0.tar.xz,0.32,0.04,0.004536584
run_41_repetition_22,DONE,npm,npm/immer--immer-11.1.8.tgz,0.81,0.09,0.012601851
run_130_repetition_15,DONE,zopfli,zopfli/@ethersproject__abstract-signer--abstract-signer-5.8.0.tgz,0.33,0.04,0.004440137
run_310_repetition_29,DONE,brotli,brotli/webpack--webpack-5.107.1.tar.br,1.89,0.23,0.029469365
run_115_repetition_15,DONE,xz,xz/style-loader--style-loader-4.0.0.tar.xz,0.29,0.03,0.004827142
run_226_repetition_27,DONE,zstd,zstd/next--next-16.2.6.tar.zst,21.0,2.52,0.309866922
run_93_repetition_19,DONE,xz,xz/html-escaper--html-escaper-3.0.3.tar.xz,0.29,0.03,0.004714665
run_158_repetition_10,DONE,zopfli,zopfli/immer--immer-11.1.8.tgz,0.83,0.1,0.012325236
run_105_repetition_22,DONE,xz,xz/prop-types--prop-types-15.8.1.tar.xz,0.36,0.05,0.005970867
run_100_repetition_6,DONE,xz,xz/next--next-16.2.6.tar.xz,73.69,8.78,1.155704926
run_120_repetition_20,DONE,xz,xz/watchpack-chokidar2--watchpack-chokidar2-2.0.1.tar.xz,0.26,0.03,0.003691372
run_0_repetition_5,DONE,npm,npm/watchpack-chokidar2--watchpack-chokidar2-2.0.1.tgz,0.33,0.04,0.004470595
run_28_repetition_3,DONE,npm,npm/resize-observer-polyfill--resize-observer-polyfill-1.5.1.tgz,0.39,0.05,0.006573395
run_157_repetition_5,DONE,zopfli,zopfli/iconv-lite--iconv-lite-0.7.2.tgz,0.54,0.06,0.008141806
run_11_repetition_2,DONE,npm,npm/shallowequal--shallowequal-1.1.0.tgz,0.32,0.04,0.004813251
run_274_repetition_19,DONE,brotli,brotli/encoding-sniffer--encoding-sniffer-1.0.2.tar.br,0.35,0.04,0.005238837
run_172_repetition_26,DONE,zopfli,zopfli/remove-trailing-separator--remove-trailing-separator-1.1.0.tgz,0.26,0.03,0.004122453
run_219_repetition_16,DONE,zstd,zstd/html-escaper--html-escaper-3.0.3.tar.zst,0.29,0.03,0.003735523
run_310_repetition_17,DONE,brotli,brotli/webpack--webpack-5.107.1.tar.br,1.93,0.23,0.029781264
run_299_repetition_4,DONE,brotli,brotli/resize-observer-polyfill--resize-observer-polyfill-1.5.1.tar.br,0.32,0.04,0.004819124
run_81_repetition_17,DONE,xz,xz/babel-plugin-transform-exponentiation-operator--babel-plugin-transform-exponentiation-operator-6.24.1.tar.xz,0.26,0.03,0.003830451
run_153_repetition_26,DONE,zopfli,zopfli/got--got-15.0.5.tgz,0.45,0.05,0.006824373
run_177_repetition_3,DONE,zopfli,zopfli/strict-uri-encode--strict-uri-encode-2.0.0.tgz,0.26,0.03,0.0037406
run_175_repetition_28,DONE,zopfli,zopfli/source-list-map--source-list-map-2.0.1.tgz,0.23,0.03,0.003894388
run_34_repetition_16,DONE,npm,npm/react-error-overlay--react-error-overlay-6.1.0.tgz,0.51,0.06,0.008521575
run_260_repetition_14,DONE,brotli,brotli/@parcel__watcher--watcher-2.5.6.tar.br,0.38,0.05,0.005421033
run_289_repetition_19,DONE,brotli,brotli/next--next-16.2.6.tar.br,23.06,2.79,0.357137223
run_155_repetition_26,DONE,zopfli,zopfli/highlight.js--highlight.js-11.11.1.tgz,3.62,0.42,0.056379467
run_121_repetition_26,DONE,xz,xz/webpack--webpack-5.107.1.tar.xz,5.62,0.66,0.087713544
run_66_repetition_12,DONE,xz,xz/@eslint__eslintrc--eslintrc-3.3.5.tar.xz,0.7,0.08,0.01071858
run_52_repetition_21,DONE,npm,npm/@opentelemetry__semantic-conventions--semantic-conventions-1.41.1.tgz,4.81,0.57,0.074767119
run_242_repetition_28,DONE,zstd,zstd/tailwindcss--tailwindcss-4.3.0.tar.zst,0.4,0.05,0.006128272
run_141_repetition_17,DONE,zopfli,zopfli/aws-sdk--aws-sdk-2.1693.0.tgz,38.47,4.58,0.607143457
run_190_repetition_24,DONE,zstd,zstd/@babel__plugin-transform-regexp-modifiers--plugin-transform-regexp-modifiers-7.28.6.tar.zst,0.23,0.03,0.003471252
run_131_repetition_14,DONE,zopfli,zopfli/@modelcontextprotocol__sdk--sdk-1.29.0.tgz,2.52,0.29,0.039834177
run_221_repetition_0,DONE,zstd,zstd/immer--immer-11.1.8.tar.zst,0.39,0.05,0.005719668
run_66_repetition_15,DONE,xz,xz/@eslint__eslintrc--eslintrc-3.3.5.tar.xz,0.65,0.08,0.009902254
run_245_repetition_1,DONE,zstd,zstd/typescript--typescript-6.0.3.tar.zst,3.88,0.45,0.057831112
run_286_repetition_13,DONE,brotli,brotli/libphonenumber-js--libphonenumber-js-1.13.3.tar.br,1.94,0.24,0.030064271
run_265_repetition_17,DONE,brotli,brotli/@vue__reactivity--reactivity-3.5.34.tar.br,0.32,0.04,0.005173376
run_132_repetition_12,DONE,zopfli,zopfli/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tgz,74.29,8.77,1.167482022
run_85_repetition_11,DONE,xz,xz/encoding-sniffer--encoding-sniffer-1.0.2.tar.xz,0.39,0.05,0.005636871
run_43_repetition_25,DONE,npm,npm/jiti--jiti-2.7.0.tgz,1.22,0.15,0.019405022
run_168_repetition_9,DONE,zopfli,zopfli/prop-types--prop-types-15.8.1.tgz,0.36,0.04,0.005317347
run_272_repetition_6,DONE,brotli,brotli/date-fns--date-fns-4.3.0.tar.br,3.95,0.48,0.060717038
run_81_repetition_13,DONE,xz,xz/babel-plugin-transform-exponentiation-operator--babel-plugin-transform-exponentiation-operator-6.24.1.tar.xz,0.26,0.03,0.003991995
run_192_repetition_8,DONE,zstd,zstd/@eslint__eslintrc--eslintrc-3.3.5.tar.zst,0.36,0.04,0.00530167
run_293_repetition_8,DONE,brotli,brotli/prismjs--prismjs-1.30.0.tar.br,1.07,0.13,0.016197433
run_187_repetition_5,DONE,zopfli,zopfli/workbox-streams--workbox-streams-7.4.1.tgz,0.39,0.05,0.005157339
run_93_repetition_2,DONE,xz,xz/html-escaper--html-escaper-3.0.3.tar.xz,0.29,0.03,0.004351367
run_29_repetition_22,DONE,npm,npm/@parcel__watcher--watcher-2.5.6.tgz,0.48,0.05,0.006852973
run_14_repetition_27,DONE,npm,npm/split2--split2-4.2.0.tgz,0.35,0.04,0.004902733
run_195_repetition_14,DONE,zstd,zstd/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tar.zst,30.25,3.56,0.455976327
run_287_repetition_9,DONE,brotli,brotli/linkify-it--linkify-it-5.0.1.tar.br,0.33,0.04,0.004162998
run_226_repetition_7,DONE,zstd,zstd/next--next-16.2.6.tar.zst,20.89,2.51,0.308738109
run_24_repetition_0,DONE,npm,npm/@sindresorhus__is--is-8.1.0.tgz,0.36,0.04,0.005303146
run_207_repetition_9,DONE,zstd,zstd/babel-plugin-transform-exponentiation-operator--babel-plugin-transform-exponentiation-operator-6.24.1.tar.zst,0.23,0.03,0.003277039
run_134_repetition_1,DONE,zopfli,zopfli/@parcel__watcher--watcher-2.5.6.tgz,0.36,0.04,0.005247548
run_305_repetition_19,DONE,brotli,brotli/tailwindcss--tailwindcss-4.3.0.tar.br,0.51,0.06,0.007159247
run_153_repetition_21,DONE,zopfli,zopfli/got--got-15.0.5.tgz,0.48,0.06,0.007338075
run_314_repetition_29,DONE,brotli,brotli/xml2js--xml2js-0.6.2.tar.br,1.32,0.16,0.02021248
run_11_repetition_8,DONE,npm,npm/shallowequal--shallowequal-1.1.0.tgz,0.32,0.04,0.004629335
run_276_repetition_26,DONE,brotli,brotli/eslint-plugin-import--eslint-plugin-import-2.32.0.tar.br,0.71,0.08,0.011490243
run_46_repetition_16,DONE,npm,npm/@modelcontextprotocol__sdk--sdk-1.29.0.tgz,2.29,0.26,0.034522976
run_36_repetition_25,DONE,npm,npm/lodash-es--lodash-es-4.18.1.tgz,1.55,0.18,0.024011025
run_32_repetition_20,DONE,npm,npm/@vue__reactivity--reactivity-3.5.34.tgz,0.51,0.06,0.007881025
run_25_repetition_8,DONE,npm,npm/encoding-sniffer--encoding-sniffer-1.0.2.tgz,0.35,0.04,0.005520112
run_60_repetition_20,DONE,npm,npm/aws-sdk--aws-sdk-2.1693.0.tgz,37.55,4.49,0.585443478
run_235_repetition_4,DONE,zstd,zstd/remove-trailing-separator--remove-trailing-separator-1.1.0.tar.zst,0.19,0.02,0.003290537
run_9_repetition_3,DONE,npm,npm/remove-trailing-separator--remove-trailing-separator-1.1.0.tgz,0.32,0.04,0.004774915
run_55_repetition_28,DONE,npm,npm/prettier--prettier-3.8.3.tgz,4.97,0.58,0.077147633
run_290_repetition_16,DONE,brotli,brotli/node-notifier--node-notifier-10.0.1.tar.br,2.61,0.31,0.039898264
run_17_repetition_26,DONE,npm,npm/source-list-map--source-list-map-2.0.1.tgz,0.32,0.04,0.005027394
run_34_repetition_6,DONE,npm,npm/react-error-overlay--react-error-overlay-6.1.0.tgz,0.51,0.06,0.008083799
run_69_repetition_20,DONE,xz,xz/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tar.xz,154.84,18.34,2.428366115
run_186_repetition_20,DONE,zopfli,zopfli/workbox-routing--workbox-routing-7.4.1.tgz,0.45,0.05,0.006436581
run_47_repetition_27,DONE,npm,npm/protobufjs--protobufjs-8.4.2.tgz,1.93,0.23,0.029809823
run_101_repetition_22,DONE,xz,xz/node-notifier--node-notifier-10.0.1.tar.xz,8.41,1.0,0.131499783
run_207_repetition_18,DONE,zstd,zstd/babel-plugin-transform-exponentiation-operator--babel-plugin-transform-exponentiation-operator-6.24.1.tar.zst,0.26,0.03,0.003595673
run_167_repetition_2,DONE,zopfli,zopfli/prismjs--prismjs-1.30.0.tgz,1.75,0.21,0.027398745
run_121_repetition_12,DONE,xz,xz/webpack--webpack-5.107.1.tar.xz,5.58,0.65,0.087648273
run_10_repetition_25,DONE,npm,npm/path-dirname--path-dirname-1.0.2.tgz,0.32,0.04,0.004685588
run_162_repetition_6,DONE,zopfli,zopfli/lodash-es--lodash-es-4.18.1.tgz,0.86,0.11,0.013707598
run_295_repetition_4,DONE,brotli,brotli/protobufjs--protobufjs-8.4.2.tar.br,0.86,0.1,0.013175481
