PackageName,Status,InputPath,OutputPath,OutputBytes,ElapsedMilliseconds
@typescript-eslint__parser--parser-8.59.4,repacked,../data/unpacked_2500/@typescript-eslint__parser--parser-8.59.4,../data/repacked_xz_2500/@typescript-eslint__parser--parser-8.59.4.tar.xz,4452,11.445042007835582
@typescript-eslint__scope-manager--scope-manager-8.59.4,repacked,../data/unpacked_2500/@typescript-eslint__scope-manager--scope-manager-8.59.4,../data/repacked_xz_2500/@typescript-eslint__scope-manager--scope-manager-8.59.4.tar.xz,46124,164.27954100072384
@typescript-eslint__type-utils--type-utils-8.59.4,repacked,../data/unpacked_2500/@typescript-eslint__type-utils--type-utils-8.59.4,../data/repacked_xz_2500/@typescript-eslint__type-utils--type-utils-8.59.4.tar.xz,14716,36.376290998305194
@typescript-eslint__types--types-8.59.4,repacked,../data/unpacked_2500/@typescript-eslint__types--types-8.59.4,../data/repacked_xz_2500/@typescript-eslint__types--types-8.59.4.tar.xz,17400,33.04745801142417
@typescript-eslint__typescript-estree--typescript-estree-8.59.4,repacked,../data/unpacked_2500/@typescript-eslint__typescript-estree--typescript-estree-8.59.4,../data/repacked_xz_2500/@typescript-eslint__typescript-estree--typescript-estree-8.59.4.tar.xz,57984,104.3668750062352
@typescript-eslint__utils--utils-8.59.4,repacked,../data/unpacked_2500/@typescript-eslint__utils--utils-8.59.4,../data/repacked_xz_2500/@typescript-eslint__utils--utils-8.59.4.tar.xz,36028,67.70120801229496
@typescript-eslint__visitor-keys--visitor-keys-8.59.4,repacked,../data/unpacked_2500/@typescript-eslint__visitor-keys--visitor-keys-8.59.4,../data/repacked_xz_2500/@typescript-eslint__visitor-keys--visitor-keys-8.59.4.tar.xz,4276,13.356749986996874
@typespec__ts-http-runtime--ts-http-runtime-0.3.5,repacked,../data/unpacked_2500/@typespec__ts-http-runtime--ts-http-runtime-0.3.5,../data/repacked_xz_2500/@typespec__ts-http-runtime--ts-http-runtime-0.3.5.tar.xz,151276,706.3950000010664
@ungap__structured-clone--structured-clone-1.3.1,repacked,../data/unpacked_2500/@ungap__structured-clone--structured-clone-1.3.1,../data/repacked_xz_2500/@ungap__structured-clone--structured-clone-1.3.1.tar.xz,7608,18.46004200342577
@vue__compiler-core--compiler-core-3.5.34,repacked,../data/unpacked_2500/@vue__compiler-core--compiler-core-3.5.34,../data/repacked_xz_2500/@vue__compiler-core--compiler-core-3.5.34.tar.xz,53196,101.98616700654384
@vue__compiler-dom--compiler-dom-3.5.34,repacked,../data/unpacked_2500/@vue__compiler-dom--compiler-dom-3.5.34,../data/repacked_xz_2500/@vue__compiler-dom--compiler-dom-3.5.34.tar.xz,86120,129.98954200884327
@vue__compiler-sfc--compiler-sfc-3.5.34,repacked,../data/unpacked_2500/@vue__compiler-sfc--compiler-sfc-3.5.34,../data/repacked_xz_2500/@vue__compiler-sfc--compiler-sfc-3.5.34.tar.xz,357788,551.2828749924665
@vue__compiler-ssr--compiler-ssr-3.5.34,repacked,../data/unpacked_2500/@vue__compiler-ssr--compiler-ssr-3.5.34,../data/repacked_xz_2500/@vue__compiler-ssr--compiler-ssr-3.5.34.tar.xz,10508,19.246708005084656
@vue__reactivity--reactivity-3.5.34,repacked,../data/unpacked_2500/@vue__reactivity--reactivity-3.5.34,../data/repacked_xz_2500/@vue__reactivity--reactivity-3.5.34.tar.xz,33816,61.13533300231211
@vue__runtime-core--runtime-core-3.5.34,repacked,../data/unpacked_2500/@vue__runtime-core--runtime-core-3.5.34,../data/repacked_xz_2500/@vue__runtime-core--runtime-core-3.5.34.tar.xz,76780,151.82433299196418
