__run_id,__done,alg,subject,energy-pkg,energy-ram,execution-time
run_80_repetition_0,DONE,zstd,zstd/@next__swc-win32-arm64-msvc--swc-win32-arm64-msvc-16.2.6.tar.zst,26.84,3.16,0.402858624
run_102_repetition_17,DONE,brotli,brotli/@esbuild__linux-riscv64--linux-riscv64-0.28.0.tar.br,5.7,0.68,0.08973004
run_69_repetition_7,DONE,zstd,zstd/@next__swc-linux-x64-musl--swc-linux-x64-musl-16.2.6.tar.zst,30.8,3.67,0.464359656
run_101_repetition_20,DONE,brotli,brotli/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tar.br,40.16,4.85,0.627822111
run_95_repetition_18,DONE,brotli,brotli/@esbuild__win32-ia32--win32-ia32-0.28.0.tar.br,5.83,0.69,0.091473769
run_43_repetition_26,DONE,zopfli,zopfli/@next__swc-win32-arm64-msvc--swc-win32-arm64-msvc-16.2.6.tgz,64.87,7.8,1.023497151
run_67_repetition_16,DONE,zstd,zstd/@next__swc-darwin-x64--swc-darwin-x64-16.2.6.tar.zst,28.62,3.4,0.429552938
run_44_repetition_18,DONE,zopfli,zopfli/@esbuild__win32-ia32--win32-ia32-0.28.0.tgz,7.75,0.93,0.12213027
run_57_repetition_17,DONE,zopfli,zopfli/@esbuild__linux-x64--linux-x64-0.28.0.tgz,7.99,0.96,0.125792887
run_71_repetition_6,DONE,zstd,zstd/aws-sdk--aws-sdk-2.1693.0.tar.zst,14.55,1.73,0.215508686
run_102_repetition_11,DONE,brotli,brotli/@esbuild__linux-riscv64--linux-riscv64-0.28.0.tar.br,5.66,0.67,0.088397884
run_68_repetition_9,DONE,zstd,zstd/@next__swc-win32-ia32-msvc--swc-win32-ia32-msvc-14.2.16.tar.zst,21.52,2.56,0.322246913
run_104_repetition_7,DONE,brotli,brotli/@esbuild__linux-ia32--linux-ia32-0.28.0.tar.br,5.61,0.67,0.087753915
run_24_repetition_20,DONE,xz,xz/aws-sdk--aws-sdk-2.1693.0.tar.xz,46.01,5.47,0.720136056
run_42_repetition_27,DONE,zopfli,zopfli/@next__swc-darwin-arm64--swc-darwin-arm64-16.2.6.tgz,71.37,8.53,1.118929689
